ts,ticker,series,category,side,entry_price_c,settle_rate,pnl,result,mode
2026-08-14T20:54:21+00:00,KXMVECROSSCATEGORY-SHARD1-S2026441A23D4937-60EDCB1CDAD,KXMVECROSSCATEGORY,Exotics,no,43.0,0.5905,,,paper
2026-08-14T20:54:21+00:00,KXMLBHRR-26AUG141910BALTB-BALLTAVERAS30-2,KXMLBHRR,Sports,no,61.0,0.9677,,,paper
2026-08-14T20:54:21+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026D3585C0231F-49B10683095,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,52.3,0.7061,,,paper
2026-08-14T20:54:21+00:00,KXMLBHRR-26AUG141910BALTB-TBTWALLS6-5,KXMLBHRR,Sports,no,96.0,0.9963,,,paper
2026-08-14T20:54:21+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026A03883DEC0D-516DF65555C,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,54.2,0.7061,,,paper
2026-08-14T20:54:21+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026A645640D825-094516523D4,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,55.6,0.7061,,,paper
2026-08-16T20:02:51+00:00,KXMVECROSSCATEGORY-S2026848B72A1566-9E84C2868F9,KXMVECROSSCATEGORY,Exotics,no,80.4,0.9326,,,paper
2026-08-16T20:02:51+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026E94E9A9BC3E-6658DFA0795,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,67.1,0.811,,,paper
2026-08-16T20:02:51+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20269CAA26D3740-623757F79B9,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,75.1,0.8633,,,paper
2026-08-16T20:02:51+00:00,KXMVECROSSCATEGORY-S2026950919CC7EF-601ACA6E338,KXMVECROSSCATEGORY,Exotics,no,72.0,0.8633,,,paper
2026-08-16T20:02:51+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20262AD58AA46A8-31560FB9D13,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,68.2,0.811,,,paper
2026-08-16T20:02:51+00:00,KXMVECROSSCATEGORY-SHARD1-S20264949657327C-D5C5BBD5CB2,KXMVECROSSCATEGORY,Exotics,no,47.9,0.5893,,,paper
2026-08-16T20:02:51+00:00,KXMVECROSSCATEGORY-SHARD1-S20265BC24E790C0-68D865E8CE2,KXMVECROSSCATEGORY,Exotics,no,51.6,0.7021,,,paper
2026-08-16T22:31:12+00:00,KXMVECROSSCATEGORY-S2026767CDD070E8-9E321E65C03,KXMVECROSSCATEGORY,Exotics,no,74.5,0.8633,,,paper
2026-08-17T00:43:58+00:00,KXMVECROSSCATEGORY-SHARD1-S2026E84702D0189-85F46010C3D,KXMVECROSSCATEGORY,Exotics,no,85.3,0.9326,,,paper
2026-08-17T00:53:45+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026AE99500DAE3-8E4B8C33131,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,73.9,0.8633,,,paper
2026-08-17T01:53:07+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202678EFDD370D8-136F92F4ACB,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,73.1,0.8633,,,paper
2026-08-17T13:29:56+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026E256407AAF4-EB856999BA9,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,96.9,0.9953,,,paper
2026-08-17T15:52:52+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202636FB218AA31-2B05F195EB4,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,58.6,0.7021,,,paper
2026-08-17T04:17:21+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026A777718318B-0E2E6C16DB3,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,92.7,0.9752,,,paper
2026-08-17T15:52:52+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026AB3684E1B5C-FF29B7D9CDA,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,75.7,0.8633,,,paper
2026-08-17T01:53:07+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20265182B937564-C8411D9BAF8,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,78.7,0.8633,,,paper
2026-08-17T14:42:31+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20267BF5CEF7843-9C0D543E4EB,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,90.3,0.9752,,,paper
2026-08-18T09:59:45+00:00,KXMLBRBI-26AUG181840MIAPHI-PHIKSCHWARBER12-1,KXMLBRBI,Sports,no,63.0,0.9677,,,paper
2026-08-18T09:59:45+00:00,KXMLBRBI-26AUG181840MIAPHI-PHIBHARPER3-1,KXMLBRBI,Sports,no,65.0,0.9677,,,paper
2026-08-18T09:59:45+00:00,KXMLBRBI-26AUG181840MIAPHI-PHITTURNER7-1,KXMLBRBI,Sports,no,69.0,0.9677,,,paper
2026-08-18T09:59:45+00:00,KXMLBHR-26AUG181840MIAPHI-PHIBHARPER3-1,KXMLBHR,Sports,no,84.0,0.9241,,,paper
2026-08-18T20:19:09+00:00,KXMLBHR-26AUG181835NYYBAL-NYYTGRISHAM12-1,KXMLBHR,Sports,no,77.0,0.8824,,,paper
2026-08-18T20:19:09+00:00,KXMLBHR-26AUG181835NYYBAL-NYYBRICE22-1,KXMLBHR,Sports,no,79.0,0.8824,,,paper
2026-08-19T16:30:00+00:00,KXMLBTB-26AUG191340ATLMIN-MINTLARNACH9-2,KXMLBTB,Sports,no,69.0,0.9677,,,paper
2026-08-19T18:58:58+00:00,KXMLBHRR-26AUG191610AZBOS-BOSNSOGARD20-3,KXMLBHRR,Sports,no,66.0,0.9677,,,paper
2026-08-19T21:22:30+00:00,KXMLBTB-26AUG191940ATHKC-ATHMMUNCY3-2,KXMLBTB,Sports,no,67.0,0.9677,,,paper
2026-08-19T21:22:30+00:00,KXMLBHR-26AUG191835NYYBAL-NYYTGRISHAM12-1,KXMLBHR,Sports,no,80.0,0.9241,,,paper
2026-08-19T21:22:30+00:00,KXMLBHR-26AUG191940ATHKC-ATHZGELOF20-1,KXMLBHR,Sports,no,88.0,0.9241,,,paper
2026-08-19T21:31:32+00:00,KXMLBHRR-26AUG191835NYYBAL-BALJHOLLIDAY7-3,KXMLBHRR,Sports,no,69.0,0.9677,,,paper
2026-08-19T21:31:32+00:00,KXMLBRBI-26AUG191940ATHKC-KCJCAGLIANONE14-2,KXMLBRBI,Sports,no,81.0,0.9241,,,paper
2026-08-20T03:33:48+00:00,KXWNBASPREAD-26AUG19MINGS-MIN21,KXWNBASPREAD,Sports,no,85.0,0.9241,,,paper
2026-08-20T03:33:48+00:00,KXMLBKS-26AUG201310SFCLE-SFLROUPP65-5,KXMLBKS,Sports,no,60.0,0.9677,,,paper
2026-08-20T04:48:57+00:00,KXMLBHR-26AUG201310SFCLE-CLESKWAN38-1,KXMLBHR,Sports,no,96.0,0.9964,,,paper
2026-08-20T19:50:20+00:00,KXUECLTOTAL-26AUG20SIOAJA-7,KXUECLTOTAL,Sports,no,91.0,0.9444,,,paper
2026-08-20T04:48:57+00:00,KXMLBHR-26AUG201410ATHKC-KCBWITT7-1,KXMLBHR,Sports,no,88.0,0.9241,,,paper
2026-08-21T01:05:07+00:00,KXMLBTOTAL-26AUG202010LAAHOU-16,KXMLBTOTAL,Sports,no,66.0,0.9677,,,paper
2026-08-21T03:42:07+00:00,KXWNBATOTAL-26AUG20CONNLV-189,KXWNBATOTAL,Sports,no,95.0,0.9964,,,paper
